Title,Genre,Plot Summary
The Shawshank Redemption 1,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 1,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 1,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 1,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 1,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 1,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 1,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 1,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 1,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 1,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 2,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 2,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 2,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 2,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 2,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 2,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 2,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 2,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 2,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 2,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 3,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 3,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 3,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 3,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 3,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 3,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 3,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 3,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 3,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 3,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 4,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 4,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 4,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 4,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 4,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 4,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 4,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 4,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 4,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 4,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 5,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 5,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 5,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 5,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 5,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 5,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 5,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 5,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 5,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 5,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 6,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 6,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 6,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 6,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 6,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 6,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 6,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 6,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 6,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 6,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 7,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 7,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 7,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
